Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
B-Ka1,1.83300e+02,0.00000e+00,0.00000e+00,1.00000e+00
C-Ka1,2.77400e+02,0.00000e+00,0.00000e+00,5.42016e-01
N-Ka1,3.92400e+02,0.00000e+00,0.00000e+00,4.34730e-01
O-Ka1,5.24900e+02,4.48183e+04,0.00000e+00,3.86050e-01
F-Ka1,6.76800e+02,6.19359e+03,0.00000e+00,4.04394e-01
Ne-Ka1,8.48600e+02,2.99339e+03,0.00000e+00,3.68134e-01
Na-Ka1,1.04100e+03,0.00000e+00,0.00000e+00,3.71368e-01
Mg-Ka1,1.25360e+03,1.44179e+04,0.00000e+00,3.56439e-01
Al-Ka1,1.48650e+03,9.94937e+05,0.00000e+00,3.63845e-01
Si-Ka1,1.73970e+03,1.98806e+04,0.00000e+00,3.61432e-01
P-Ka1,2.01330e+03,0.00000e+00,0.00000e+00,3.76500e-01
S-Ka1,2.30720e+03,2.84060e+03,0.00000e+00,3.66556e-01
S-Ll,1.47110e+02,0.00000e+00,0.00000e+00,8.06846e+00
Cl-Ka1,2.62240e+03,0.00000e+00,0.00000e+00,3.85459e-01
Cl-Ll,1.82500e+02,0.00000e+00,0.00000e+00,4.82312e+00
Ar-Ka1,2.95770e+03,0.00000e+00,0.00000e+00,4.18180e-01
Ar-Kb1,3.19050e+03,0.00000e+00,0.00000e+00,4.18180e-01
Ar-Ll,2.19900e+02,0.00000e+00,0.00000e+00,3.38787e+00
K-Ka1,3.31380e+03,0.00000e+00,0.00000e+00,3.97275e-01
K-Kb1,3.58960e+03,0.00000e+00,0.00000e+00,3.97275e-01
K-Ll,2.59700e+02,0.00000e+00,0.00000e+00,2.30454e+00
Ca-Ka1,3.69170e+03,4.56185e+02,0.00000e+00,3.98641e-01
Ca-Ka2,3.68810e+03,2.28093e+02,0.00000e+00,3.98641e-01
Ca-Kb1,4.01270e+03,8.89562e+01,0.00000e+00,3.98641e-01
Ca-Ll,3.02700e+02,3.01750e+03,0.00000e+00,1.77750e+00
Sc-Ka1,4.09060e+03,0.00000e+00,0.00000e+00,4.40863e-01
Sc-Ka2,4.08610e+03,0.00000e+00,0.00000e+00,4.40863e-01
Sc-Kb1,4.46050e+03,0.00000e+00,0.00000e+00,4.40863e-01
Sc-La1,3.94200e+02,0.00000e+00,0.00000e+00,1.67391e+00
Sc-Ll,3.48400e+02,0.00000e+00,0.00000e+00,1.67391e+00
Sc-Ln,3.52900e+02,0.00000e+00,0.00000e+00,1.69641e+00
Ti-Ka1,4.51090e+03,1.05624e+04,0.00000e+00,4.65309e-01
Ti-Kb1,4.93180e+03,1.47874e+03,0.00000e+00,4.65309e-01
Ti-La1,4.47500e+02,1.64293e+03,0.00000e+00,1.34072e+00
Ti-Lb1,4.53500e+02,1.87764e+03,0.00000e+00,1.36203e+00
Ti-Ll,3.95200e+02,5.39821e+03,0.00000e+00,1.34072e+00
V-Ka1,4.95220e+03,5.70486e+02,0.00000e+00,4.94352e-01
V-Ka2,4.94460e+03,2.85243e+02,0.00000e+00,4.94352e-01
V-Kb1,5.42730e+03,1.14097e+02,0.00000e+00,4.94352e-01
V-La1,5.04900e+02,0.00000e+00,0.00000e+00,1.19793e+00
V-La2,5.10700e+02,0.00000e+00,0.00000e+00,1.19793e+00
V-Lb1,5.18300e+02,0.00000e+00,0.00000e+00,1.21945e+00
V-Ll,4.46400e+02,0.00000e+00,0.00000e+00,1.19793e+00
V-Ln,4.54000e+02,0.00000e+00,0.00000e+00,1.21945e+00
Cr-Ka1,5.41470e+03,6.21901e+02,0.00000e+00,5.07126e-01
Cr-Ka2,5.40550e+03,3.10951e+02,0.00000e+00,5.07126e-01
Cr-Kb1,5.94670e+03,1.24380e+02,0.00000e+00,5.07126e-01
Cr-La1,5.72200e+02,0.00000e+00,0.00000e+00,1.09675e+00
Cr-La2,5.72200e+02,0.00000e+00,0.00000e+00,1.09675e+00
Cr-Lb1,5.81400e+02,0.00000e+00,0.00000e+00,1.11813e+00
Cr-Ll,5.00400e+02,0.00000e+00,0.00000e+00,1.09675e+00
