H (Z = 1) Atomic weight: Ar = 1.008000 g mol-1   Nominal density:   sigma (g cm-3) = 8.9870E-05 
sigma(barns/atom) = [mue/rho](cm2 g-1)  ×  1.67382E+00 
E(eV) [?/?](cm2 g-1) = f2(e atom-1)  ×  4.17463E+07 
1 edges. Edge energies (keV):
K Edge energy (keV) = 1.36000E-02 
Data
E/keV            [mue/rho]Photoelectric/cm2g-1
1.366800E-02  2.9076E+06
1.387200E-02  2.7996E+06
1.396010E-02  2.7547E+06
1.492335E-02  2.3210E+06
1.595306E-02  1.9532E+06
1.705382E-02  1.6417E+06
1.823053E-02  1.3783E+06
1.948844E-02  1.1557E+06
2.083314E-02  9.6798E+05
2.227063E-02  8.0981E+05
2.380730E-02  6.7671E+05
2.545001E-02  5.6484E+05
2.720606E-02  4.7095E+05
2.908327E-02  3.9222E+05
3.109002E-02  3.2631E+05
3.323523E-02  2.7117E+05
3.552846E-02  2.2512E+05
3.797993E-02  1.8669E+05
4.060054E-02  1.5465E+05
4.340198E-02  1.2799E+05
4.639671E-02  1.0581E+05
4.959809E-02  8.7389E+04
5.302035E-02  7.2104E+04
5.667876E-02  5.9434E+04
6.058959E-02  4.8943E+04
6.477028E-02  4.0265E+04
6.923942E-02  3.3095E+04
7.401695E-02  2.7177E+04
7.912411E-02  2.2296E+04
8.458368E-02  1.8276E+04
9.041995E-02  1.4967E+04
9.665893E-02  1.2247E+04
1.033284E-01  1.0012E+04
1.104581E-01  8.1783E+03
1.180797E-01  6.6747E+03
1.262272E-01  5.4431E+03
1.349368E-01  4.4351E+03
1.442475E-01  3.6109E+03
1.542005E-01  2.9376E+03
1.648404E-01  2.3880E+03
1.762144E-01  1.9397E+03
1.883732E-01  1.5744E+03
2.013709E-01  1.2769E+03
2.152655E-01  1.0349E+03
2.301188E-01  8.3821E+02
2.459970E-01  6.7840E+02
2.629708E-01  5.4868E+02
2.811158E-01  4.4347E+02
3.005128E-01  3.5820E+02
3.212482E-01  2.8913E+02
3.434143E-01  2.3324E+02
3.671099E-01  1.8803E+02
3.924405E-01  1.5149E+02
4.195189E-01  1.2198E+02
4.484657E-01  9.8162E+01
4.794098E-01  7.8949E+01
5.124891E-01  6.3461E+01
5.478508E-01  5.0983E+01
5.856525E-01  4.0937E+01
6.260625E-01  3.2854E+01
6.692609E-01  2.6353E+01
7.154399E-01  2.1128E+01
7.648052E-01  1.6931E+01
8.175768E-01  1.3561E+01
8.739896E-01  1.0857E+01
9.342948E-01  8.6881E+00
9.987612E-01  6.9496E+00
1.067676E+00  5.5566E+00
1.141345E+00  4.4410E+00
1.220098E+00  3.5480E+00
1.304285E+00  2.8335E+00
1.394281E+00  2.2620E+00
1.490486E+00  1.8052E+00
1.593329E+00  1.4401E+00
1.703269E+00  1.1485E+00
1.820795E+00  9.1562E-01
1.946430E+00  7.2975E-01
2.080733E+00  5.8144E-01
2.224304E+00  4.6314E-01
2.377781E+00  3.6881E-01
2.541848E+00  2.9362E-01
2.717235E+00  2.3370E-01
2.904724E+00  1.8597E-01
