He (Z = 2) Atomic weight: Ar = 4.003000 g mol-1   Nominal density:   sigma (g cm-3) = 1.6640E-04 
sigma(barns/atom) = [mue/rho](cm2 g-1)  ×  6.64714E+00 
E(eV) [?/?](cm2 g-1) = f2(e atom-1)  ×  1.05122E+07 
1 edges. Edge energies (keV):
K Edge energy (keV) = 2.46000E-02 
Data
E/keV            [mue/rho]Photoelectric/cm2g-1
2.472300E-02  8.4663E+05
2.509200E-02  8.2316E+05
2.545001E-02  8.0128E+05
2.720606E-02  7.0509E+05
2.908327E-02  6.1945E+05
3.109002E-02  5.4334E+05
3.323523E-02  4.7581E+05
3.552846E-02  4.1601E+05
3.797993E-02  3.6314E+05
4.060054E-02  3.1648E+05
4.340198E-02  2.7537E+05
4.639671E-02  2.3922E+05
4.959809E-02  2.0748E+05
5.302035E-02  1.7967E+05
5.667876E-02  1.5533E+05
6.058959E-02  1.3407E+05
6.477028E-02  1.1554E+05
6.923942E-02  9.9407E+04
7.401695E-02  8.5391E+04
7.912411E-02  7.3234E+04
8.458368E-02  6.2706E+04
9.041995E-02  5.3606E+04
9.665893E-02  4.5753E+04
1.033284E-01  3.8987E+04
1.104581E-01  3.3169E+04
1.180797E-01  2.8174E+04
1.262272E-01  2.3892E+04
1.349368E-01  2.0229E+04
1.442475E-01  1.7100E+04
1.542005E-01  1.4431E+04
1.648404E-01  1.2160E+04
1.762144E-01  1.0230E+04
1.883732E-01  8.5918E+03
2.013709E-01  7.2047E+03
2.152655E-01  6.0318E+03
2.301188E-01  5.0418E+03
2.459970E-01  4.2075E+03
2.629708E-01  3.5056E+03
2.811158E-01  2.9161E+03
3.005128E-01  2.4218E+03
3.212482E-01  2.0081E+03
3.434143E-01  1.6624E+03
3.671099E-01  1.3740E+03
3.924405E-01  1.1338E+03
4.195189E-01  9.3412E+02
4.484657E-01  7.6835E+02
4.794098E-01  6.3099E+02
5.124891E-01  5.1735E+02
5.478508E-01  4.2350E+02
5.856525E-01  3.4611E+02
6.260625E-01  2.8241E+02
6.692609E-01  2.3007E+02
7.154399E-01  1.8713E+02
7.648052E-01  1.5195E+02
8.175768E-01  1.2319E+02
8.739896E-01  9.9718E+01
9.342948E-01  8.0586E+01
9.987612E-01  6.5020E+01
1.067676E+00  5.2183E+01
1.141345E+00  4.1838E+01
1.220098E+00  3.3514E+01
1.304285E+00  2.6823E+01
1.394281E+00  2.1449E+01
1.490486E+00  1.7137E+01
1.593329E+00  1.3682E+01
1.703269E+00  1.0914E+01
1.820795E+00  8.7002E+00
1.946430E+00  6.9302E+00
2.080733E+00  5.5165E+00
2.224304E+00  4.3882E+00
2.377781E+00  3.4884E+00
2.541848E+00  2.7714E+00
2.717235E+00  2.2005E+00
2.904724E+00  1.7461E+00
