Ni (Z = 28) Atomic weight: Ar = 58.69000 g mol-1   Nominal density: rho (g cm-3) = 8.8760
sigma(barns/atom) = [mue/rho](cm2 g-1)  ×  9.74571E+01 
E(eV) [mue/rho](cm2 g-1) = f2(e atom-1)  ×  7.16993E+05 
9 edges. Edge energies (keV):
K      8.33280E+00  
L I    1.00810E+00  
L II   8.71900E-01  
L III  8.54700E-01 
M I    1.11800E-01  
M II   6.81000E-02  
M III  6.81000E-02  
M IV   3.60000E-03 
M V    3.60000E-03 
Data
E/keV            [mue/rho]Photoelectric/cm2g-1
1.069000E-02  9.6199E+04
1.142761E-02  9.6924E+04
1.221612E-02  9.7839E+04
1.305903E-02  9.8922E+04
1.396010E-02  1.0015E+05
1.492335E-02  1.0149E+05
1.595306E-02  1.0285E+05
1.705382E-02  1.0418E+05
1.823053E-02  1.0544E+05
1.948844E-02  1.0660E+05
2.083314E-02  1.0762E+05
2.227063E-02  1.0849E+05
2.380730E-02  1.0917E+05
2.545001E-02  1.0965E+05
2.720606E-02  1.0990E+05
2.908327E-02  1.0991E+05
3.109002E-02  1.0967E+05
3.323523E-02  1.0920E+05
3.552846E-02  1.0847E+05
3.797993E-02  1.0752E+05
4.060054E-02  1.0634E+05
4.340198E-02  1.0495E+05
4.639671E-02  1.0338E+05
4.959809E-02  1.0164E+05
5.302035E-02  9.9415E+04
5.667876E-02  9.6684E+04
6.058959E-02  9.3751E+04
6.477028E-02  9.0650E+04
6.673800E-02  8.9212E+04
6.775950E-02  8.8337E+04
6.803190E-02  8.7907E+04
6.844050E-02  1.0481E+05
6.923942E-02  1.0272E+05
6.946200E-02  1.0215E+05
7.401695E-02  9.1562E+04
7.912411E-02  8.1936E+04
8.458368E-02  7.3820E+04
9.041995E-02  6.6710E+04
9.665893E-02  6.0352E+04
1.033284E-01  5.4620E+04
1.095640E-01  5.0042E+04
1.104581E-01  4.9438E+04
1.112410E-01  4.8920E+04
1.116882E-01  4.8628E+04
1.123590E-01  5.1047E+04
1.140360E-01  4.9994E+04
1.180797E-01  4.7611E+04
1.262272E-01  4.3391E+04
1.349368E-01  3.9571E+04
1.442475E-01  3.6110E+04
1.542005E-01  3.2972E+04
1.648404E-01  3.0121E+04
1.762144E-01  2.7523E+04
1.883732E-01  2.5145E+04
2.013709E-01  2.2958E+04
2.152655E-01  2.0938E+04
2.301188E-01  1.9063E+04
2.459970E-01  1.7319E+04
2.629708E-01  1.5694E+04
2.811158E-01  1.4179E+04
3.005128E-01  1.2761E+04
3.212482E-01  1.1439E+04
3.434143E-01  1.0215E+04
3.671099E-01  9.0869E+03
3.924405E-01  8.0556E+03
4.195189E-01  7.1184E+03
4.484657E-01  6.2720E+03
4.794098E-01  5.5117E+03
5.124891E-01  4.8322E+03
5.478508E-01  4.2278E+03
5.856525E-01  3.6924E+03
6.260625E-01  3.2201E+03
6.692609E-01  2.8047E+03
7.154399E-01  2.4404E+03
7.648052E-01  2.1217E+03
8.175768E-01  1.8435E+03
8.376060E-01  1.7516E+03
8.504265E-01  1.6962E+03
8.544620E-01  1.6793E+03
8.589735E-01  9.9479E+03
8.675405E-01  9.6987E+03
8.710281E-01  9.5998E+03
8.717940E-01  9.5782E+03
8.739896E-01  1.3543E+04
8.762595E-01  1.3453E+04
8.893380E-01  1.2953E+04
9.342948E-01  1.1417E+04
9.879380E-01  9.9055E+03
9.987612E-01  9.6365E+03
1.003060E+00  9.5315E+03
1.007092E+00  9.4340E+03
1.013141E+00  1.0568E+04
1.028262E+00  1.0191E+04
1.067676E+00  9.2950E+03
1.141345E+00  7.9145E+03
1.220098E+00  6.7491E+03
1.304285E+00  5.7585E+03
1.394281E+00  4.8988E+03
1.490486E+00  4.1525E+03
1.593329E+00  3.4989E+03
1.703269E+00  2.9472E+03
1.820795E+00  2.4824E+03
1.946430E+00  2.0914E+03
2.080733E+00  1.7607E+03
2.224304E+00  1.4802E+03
2.377781E+00  1.2449E+03
2.541848E+00  1.0476E+03
2.717235E+00  8.8212E+02
2.904724E+00  7.4334E+02
3.105150E+00  6.2301E+02
3.319406E+00  5.1958E+02
3.548445E+00  4.3225E+02
3.793288E+00  3.5857E+02
