Z,element,K,L,M
6,C,0.001,0,0
7,N,0.002,0,0
8,O,0.003,0,0
9,F,0.005,0,0
10,Ne,0.008,0,0
11,Na,0.013,0,0
12,Mg,0.019,0,0
13,AI,0.026,0,0
14,Si,0.036,0,0
15,P,0.047,0,0
16,S,0.061,0,0
17,CI,0.078,0,0
18,Ar,0.097,0,0
19,K,0.118,0,0
20,Ca,0.142,0.001,0
21,Sc,0.168,0.001,0
22,Ti,0.197,0.001,0
23,V,0.227,0.002,0
24,Cr,0.258,0.002,0
25,Mn,0.291,0.003,0
26,Fe,0.324,0.003,0
27,Co,0.358,0.004,0
28,Ni,0.392,0.005,0
29,Cu,0.425,0.006,0
30,Zn,0.458,0.007,0
31,Ga,0.489,0.009,0
32,Ge,0.52,0.01,0
33,As,0.549,0.012,0
34,Se,0.577,0.014,0
35,Br,0.604,0.016,0
36,Kr,0.629,0.019,0
37,Rb,0.653,0.021,0.001
38,Sr,0.675,0.024,0.001
39,Y,0.695,0.027,0.001
40,Zr,0.715,0.031,0.001
41,Nb,0.732,0.035,0.001
42,Mo,0.749,0.039,0.001
43,Tc,0.765,0.043,0.001
44,Ru,0.779,0.047,0.001
45,Rh,0.792,0.052,0.001
46,Pd,0.805,0.058,0.001
47,Ag,0.816,0.063,0.002
48,Cd,0.827,0.069,0.002
49,1n,0.836,0.075,0.002
50,Sn,0.845,0.081,0.002
51,Sb,0.854,0.088,0.002
52,Te,0.862,0.095,0.003
53,I,0.869,0.102,0.003
54,Xe,0.876,0.11,0.003
55,Cs,0.882,0.118,0.004
56,Ba,0.888,0.126,0.004
57,La,0.893,0.135,0.004
58,Ce,0.898,0.143,0.005
59,Pr,0.902,0.152,0.005
60,Nd,0.907,0.161,0.006
61,Pm,0.911,0.171,0.006
62,Sm,0.915,0.18,0.007
63,Eu,0.918,0.19,0.007
64,Gd,0.921,0.2,0.008
65,Tb,0.924,0.21,0.009
66,Dy,0.927,0.22,0.009
67,Ho,0.93,0.231,0.01
68,Er,0.932,0.24,0.011
69,Tm,0.934,0.251,0.012
70,Yb,0.937,0.262,0.013
71,Lu,0.939,0.272,0.014
72,Hf,0.941,0.283,0.015
73,Ta,0.942,0.293,0.016
74,W,0.944,0.304,0.018
75,Re,0.945,0.314,0.019
76,0s,0.947,0.325,0.02
77,1r,0.948,0.335,0.022
78,Pt,0.949,0.345,0.024
79,Au,0.951,0.356,0.026
80,Hg,0.952,0.366,0.028
81,Tl,0.953,0.376,0.03
82,Pb,0.954,0.386,0.032
83,Bi,0.954,0.396,0.034
84,Po,0.955,0.405,0.037
85,At,0.956,0.415,0.04
86,Rn,0.957,0.425,0.043
87,Fr,0.957,0.434,0.046
88,Ra,0.958,0.443,0.049
89,Ac,0.958,0.452,0.052
90,Th,0.959,0.461,0.056
91,Pa,0.959,0.469,0.06
92,U,0.96,0.478,0.064
93,Np,0.96,0.486,0.068
94,Pu,0.96,0.494,0.073
95,Am,0.96,0.502,0.077
96,Cm,0.961,0.51,0.083
97,Bk,0.961,0.517,0.088
98,Cf,0.961,0.524,0.093
99,Es,0.961,0.531,0.099
100,Fm,0.961,0.538,0.106
