Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
B-Ka1,1.83300e+02,0.00000e+00,0.00000e+00,1.00000e+00
C-Ka1,2.77400e+02,0.00000e+00,0.00000e+00,5.34908e-01
N-Ka1,3.92400e+02,5.91590e+01,0.00000e+00,4.23635e-01
O-Ka1,5.24900e+02,0.00000e+00,0.00000e+00,3.71908e-01
F-Ka1,6.76800e+02,0.00000e+00,0.00000e+00,3.85149e-01
Ne-Ka1,8.48600e+02,9.98193e+01,0.00000e+00,3.46539e-01
Na-Ka1,1.04100e+03,0.00000e+00,0.00000e+00,3.45547e-01
Mg-Ka1,1.25360e+03,0.00000e+00,0.00000e+00,3.27781e-01
Al-Ka1,1.48650e+03,0.00000e+00,0.00000e+00,3.30728e-01
Si-Ka1,1.73970e+03,2.08039e+01,0.00000e+00,3.24726e-01
P-Ka1,2.01330e+03,3.72395e+00,0.00000e+00,3.34291e-01
S-Ka1,2.30720e+03,0.00000e+00,0.00000e+00,3.21669e-01
S-Ll,1.47110e+02,0.00000e+00,0.00000e+00,8.09971e+00
Cl-Ka1,2.62240e+03,3.41984e+01,0.00000e+00,3.34284e-01
Cl-Ll,1.82500e+02,0.00000e+00,0.00000e+00,4.81410e+00
Ar-Ka1,2.95770e+03,0.00000e+00,0.00000e+00,3.58291e-01
Ar-Kb1,3.19050e+03,0.00000e+00,0.00000e+00,3.58291e-01
Ar-Ll,2.19900e+02,0.00000e+00,0.00000e+00,3.35984e+00
K-Ka1,3.31380e+03,1.03573e+02,0.00000e+00,3.36238e-01
K-Kb1,3.58960e+03,1.41895e+01,0.00000e+00,3.36238e-01
K-Ll,2.59700e+02,0.00000e+00,0.00000e+00,2.27166e+00
Ca-Ka1,3.69170e+03,2.75461e+01,0.00000e+00,3.33218e-01
Ca-Ka2,3.68810e+03,1.37730e+01,0.00000e+00,3.33218e-01
Ca-Kb1,4.01270e+03,5.37148e+00,0.00000e+00,3.33218e-01
Ca-Ll,3.02700e+02,5.95131e+01,0.00000e+00,1.74182e+00
Sc-Ka1,4.09060e+03,0.00000e+00,0.00000e+00,3.63890e-01
Sc-Ka2,4.08610e+03,0.00000e+00,0.00000e+00,3.63890e-01
Sc-Kb1,4.46050e+03,0.00000e+00,0.00000e+00,3.63890e-01
Sc-La1,3.94200e+02,0.00000e+00,0.00000e+00,1.63109e+00
Sc-Ll,3.48400e+02,0.00000e+00,0.00000e+00,1.63109e+00
Sc-Ln,3.52900e+02,0.00000e+00,0.00000e+00,1.65230e+00
Ti-Ka1,4.51090e+03,1.75342e+01,0.00000e+00,3.79229e-01
Ti-Kb1,4.93180e+03,2.45479e+00,0.00000e+00,3.79229e-01
Ti-La1,4.47500e+02,0.00000e+00,0.00000e+00,1.30000e+00
Ti-Lb1,4.53500e+02,0.00000e+00,0.00000e+00,1.31997e+00
Ti-Ll,3.95200e+02,0.00000e+00,0.00000e+00,1.30000e+00
V-Ka1,4.95220e+03,1.73593e+02,0.00000e+00,3.97724e-01
V-Ka2,4.94460e+03,8.67963e+01,0.00000e+00,3.97724e-01
V-Kb1,5.42730e+03,3.47185e+01,0.00000e+00,3.97724e-01
V-La1,5.04900e+02,0.00000e+00,0.00000e+00,1.15585e+00
V-La2,5.10700e+02,0.00000e+00,0.00000e+00,1.15585e+00
V-Lb1,5.18300e+02,0.00000e+00,0.00000e+00,1.17588e+00
V-Ll,4.46400e+02,0.00000e+00,0.00000e+00,1.15585e+00
V-Ln,4.54000e+02,0.00000e+00,0.00000e+00,1.17588e+00
Cr-Ka1,5.41470e+03,0.00000e+00,0.00000e+00,4.02650e-01
Cr-Ka2,5.40550e+03,0.00000e+00,0.00000e+00,4.02650e-01
Cr-Kb1,5.94670e+03,0.00000e+00,0.00000e+00,4.02650e-01
Cr-La1,5.72200e+02,0.00000e+00,0.00000e+00,1.05303e+00
Cr-La2,5.72200e+02,0.00000e+00,0.00000e+00,1.05303e+00
Cr-Lb1,5.81400e+02,0.00000e+00,0.00000e+00,1.07281e+00
Cr-Ll,5.00400e+02,0.00000e+00,0.00000e+00,1.05303e+00
